,level_0,index,Generator Name,category,MISO_Bubble,Bubble,Max Capacity,Region,Forced Outage Rate,Maintenance Rate_Band2,Mean Time to Repair,Mean Time to Repair_Band2,FORandMaintenance,recoverprob,failureprob
15,107,123,Cottonwood Energy Project_2,CC,LA-N_28,28,151.9,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
16,108,124,Cottonwood Energy Project_3,CC,LA-N_28,28,179.9,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
17,109,125,Cottonwood Energy Project_4,CC,LA-N_28,28,151.9,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
18,134,153,Dolet Hills_1,Coal_ST,LA-N_28,28,660.0,MISO-9,2.4,10.04,51.0,880.0,12.44,0.0196078431372549,0.0027857648312865574
19,135,154,Dow St Charles Operations_1,CC,LA-N_28,28,125.8,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
20,136,155,Dow St Charles Operations_2,CC,LA-N_28,28,125.8,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
21,137,156,Dow St Charles Operations_3,CC,LA-N_28,28,22.4,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
22,138,157,Dow St Charles Operations_4,CC,LA-N_28,28,50.5,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
23,162,181,ExxonMobil Baton Rouge Cogen_1,CC,LA-Gulf_26,26,150.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
24,163,182,ExxonMobil Baton Rouge Cogen_2,CC,LA-Gulf_26,26,88.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
